carrier,date, premium 
MERCURY,12/2/2014,2554
MERCURY,12/2/2014,667
MERCURY,12/2/2014,2197
MERCURY,12/2/2014,790
MERCURY,12/2/2014,2547
MERCURY,12/2/2014,897
MERCURY,12/2/2014,1597
MERCURY,12/2/2014,1135
MERCURY,12/2/2014,3315
MERCURY,12/2/2014,4385
MERCURY,12/2/2014,2269
ESURANCE,12/2/2014,792
DAIRYLAND,12/2/2014,319.98
ESURANCE,12/2/2014,717
PROGRESSIVE,12/2/2014,406.69
PROGRESSIVE,12/2/2014,451.87
PROGRESSIVE,12/2/2014,1259
PROGRESSIVE,12/2/2014,342
PROGRESSIVE,12/2/2014,666
PROGRESSIVE,12/2/2014,822
PROGRESSIVE,12/2/2014,724
PROGRESSIVE,12/2/2014,195
PROGRESSIVE,12/2/2014,735
PROGRESSIVE,12/2/2014,796
PROGRESSIVE,12/2/2014,261
PROGRESSIVE,12/2/2014,180.5
PROGRESSIVE,12/2/2014,381
PROGRESSIVE,12/2/2014,1043
PROGRESSIVE,12/2/2014,474
PROGRESSIVE,12/2/2014,830
PROGRESSIVE,12/2/2014,578
PROGRESSIVE,12/2/2014,749
PROGRESSIVE,12/2/2014,1844
PROGRESSIVE,12/2/2014,109
PROGRESSIVE,12/2/2014,351
PROGRESSIVE,12/2/2014,628
PROGRESSIVE,12/2/2014,527
PROGRESSIVE,12/2/2014,680
PROGRESSIVE,12/2/2014,525
PROGRESSIVE,12/2/2014,396
PROGRESSIVE,12/2/2014,525
PROGRESSIVE,12/2/2014,448.5
PROGRESSIVE,12/2/2014,372
PROGRESSIVE,12/2/2014,512
PROGRESSIVE,12/2/2014,574
PROGRESSIVE,12/2/2014,585
PROGRESSIVE,12/2/2014,705
PROGRESSIVE,12/2/2014,939
PROGRESSIVE,12/2/2014,906
PROGRESSIVE,12/2/2014,689
PROGRESSIVE,12/2/2014,638
PROGRESSIVE,12/2/2014,976
PROGRESSIVE,12/2/2014,486
PROGRESSIVE,12/2/2014,408
PROGRESSIVE,12/2/2014,519
PROGRESSIVE,12/2/2014,602
PROGRESSIVE,12/2/2014,272
