Date,AK,AL,AR,AZ,CA,CO,CT,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NA,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VT,WA,WI,WV
10/20/2014,,205.3583333,246.07,408.24,203.495,263.014,262.5677778,186.45,200.6609091,,,,140.305,169.41,,,,,,,252.335,230.9725,303.105,287.8054545,61.35,,,364.999,182.3975,,287.27,205.242,272.7342857,190.594,279.4744444,,155.6066667,108.458,247.7575,177.18,215.6,,166.505,144.7066667,
10/21/2014,,317.9125,370,168.9975,,167.9,192.7316667,486.7133333,230.6564706,,,,99.7,230.46,179.61,,,,,,254.84875,233.2283333,352.655,197.3124,,,,380.6084615,,,252.276,205.9188889,170.634,244.884,185.7714286,,177.97,222.95,213.6607692,160.505,350.07875,,248.3777778,266.27,304.5533333
10/22/2014,,269.28,301.3775,278.1066667,220,259.43,294.6018182,288.968,198.6593333,,,220,318.97,289.83,,,,,,,39.32,613.71,330.3633333,177.5642308,169.52,,,456.2757143,117.1,,221.0266667,183.7609091,214.4033333,249.745,208.8325,,244.226,325.93125,232.3640541,220,371.3257143,,276.22,235.0133333,
10/23/2014,,201.4175,290.4861538,253.8366667,42.2,200.7075,366.2290909,297.89,191.616,,,,276.295,285.075,,,,,,,524.12,201.06125,380.5033333,204.2834375,,,,474.08,132.72,,383.3852941,173.4823077,441.67,241.122,309.3546667,,259.0666667,266.8825,242.7767857,200.095,288.683,,203.54,,347.45
10/24/2014,225,292.41625,218.095,275.03,175.8333333,200.7533333,236.8818182,306.555,269.177931,,,,,189.895,303.14,,,,444.18,,250.945,217.2277778,372.3166667,242.0497727,70.82,,,341.16,164.42,,237.4396429,271.0985,248.8309091,,218.0772727,,263.8975,306.0644444,238.0095588,,313.7510526,,243.692,266.32,225.985
10/25/2014,,159.31,285.985,,,220,186.39,,457.9125,,,,262.99,347.03,,,,,,,144.86,283.154,,225.1133333,,,,299.85625,,,140.065,282.44,139.43,,170.9875,,162.6266667,372.7275,340.313,,325.145,,,31.44,
10/27/2014,,,277.5925,192.75,,170.444,205.88375,348.3675,225.285,,,,226.96,190.85,478.88,,,,,,220.325,342.924,253.9,229.9655172,157.645,,,429.1994118,220,117.22,286.0336364,180.8171429,190.93875,124.465,185.308,,303.6784615,84.695,262.4646809,,289.0263636,,220,110.55,251.8166667
10/28/2014,,152.5175,270.1675,87.09,,173.67,345.3957143,253.165,197.5514286,,,,240.2125,77.78,,,,,,,229.8425,276.4655556,385.1975,313.6344444,,,,401.2046154,330.4466667,,323.8325,198.9781818,349.246,210.0525,241.9833333,,407.8528571,462.9366667,267.5334615,220,323.4411111,291.26,440.2825,331.0366667,
10/29/2014,,169.91375,326.508,248.89,,190.88,316.3275,387.028,222.692,,,,150.9933333,203.695,74.35,,,,,,254.24,291.0025,406.64,312.0138889,,,,389.203,256.858,,234.945,171.23875,149.21,306.84,294.85,,159.074,362.15125,286.257027,255.265,280.73125,,282.99,231.46,
10/30/2014,,157.9057143,107.34,154.1266667,326.36,244.6557143,177.85,202.735,197.909375,,,,137.255,174.6566667,161.23,,,,,,247.958,195.222,323.686,195.668,32.99,,276.82,508.3182353,497.65,,253.6428571,159.3007143,258.712,211.73,175.2723077,,284.8544444,199.605,218.749,177.325,346.4110526,,157.1333333,,420.985
